Val Datasets	Splits	srcc	plcc	krcc
AGIQA-3K	00	0.805360	0.866227	0.618139	@00300
AGIQA-3K	01	0.809229	0.880463	0.620911	@00301
AGIQA-3K	02	0.812881	0.878535	0.623435	@00300
AGIQA-3K	03	0.788391	0.864036	0.598511	@00300
AGIQA-3K	04	0.822529	0.878629	0.637683	@00301
AGIQA-3K	05	0.789079	0.860017	0.601547	@00300
AGIQA-3K	06	0.794218	0.879381	0.605529	@00300
AGIQA-3K	07	0.833926	0.895408	0.649754	@00301
AGIQA-3K	08	0.813510	0.892897	0.625964	@00300
AGIQA-3K	09	0.812166	0.881178	0.622126	@00300
Overall results in AGIQA-3K: [0.8081289  0.87767709 0.62035993]	[0.01376797 0.01095271 0.01504829]
