Val Datasets	Splits	srcc	plcc	krcc
AGIQA-3K	00	0.816544	0.880543	0.631058	@04800
AGIQA-3K	01	0.815000	0.892186	0.631022	@04600
AGIQA-3K	02	0.828812	0.889238	0.642623	@05800
AGIQA-3K	03	0.803904	0.876600	0.612702	@04500
AGIQA-3K	04	0.832642	0.870773	0.650143	@05100
AGIQA-3K	05	0.821704	0.881108	0.636881	@05700
AGIQA-3K	06	0.817245	0.890175	0.635690	@03800
AGIQA-3K	07	0.855261	0.907740	0.673526	@04200
AGIQA-3K	08	0.832218	0.901934	0.645450	@04500
AGIQA-3K	09	0.825429	0.891903	0.637417	@05000
Overall results in AGIQA-3K: [0.82487573 0.88821985 0.63965117]	[0.01314649 0.01073406 0.01484245]
